# Altitude(AMSL),Pressure(hpa),Temp(C),RH,WindSpeed(m/s),WindDirection(degTN),Uwind(m/s),Vwind(m/s)
1080.23,890.92,19.85,71.40, 5.11,90.70, 5.11,-0.06
1083.77,890.55,19.84,71.19, 5.08,87.89, 5.08, 0.19
1087.43,890.17,19.83,71.02, 5.19,88.65, 5.19, 0.12
1091.41,889.75,19.82,70.80, 5.29,89.39, 5.29, 0.06
1095.80,889.31,19.80,70.77, 5.06,87.21, 5.05, 0.25
1100.31,888.84,19.76,70.99, 4.98,84.92, 4.96, 0.44
1105.08,888.36,19.72,71.28, 5.08,84.18, 5.05, 0.52
1109.92,887.85,19.68,71.47, 5.03,82.47, 4.99, 0.66
1115.04,887.32,19.63,71.62, 5.13,81.97, 5.08, 0.72
1120.66,886.75,19.58,71.88, 5.23,81.48, 5.17, 0.77
1126.62,886.14,19.51,72.05, 5.10,79.63, 5.02, 0.92
1132.55,885.54,19.46,72.03, 5.09,78.77, 5.00, 0.99
1138.37,884.95,19.42,72.14, 5.32,79.48, 5.23, 0.97
1143.82,884.38,19.37,72.43, 5.55,78.93, 5.45, 1.07
1149.06,883.83,19.32,72.68, 5.72,80.74, 5.64, 0.92
1154.66,883.23,19.26,72.76, 5.78,84.05, 5.75, 0.60
1161.41,882.54,19.21,72.78, 5.87,87.27, 5.86, 0.28
1169.16,881.76,19.16,72.93, 5.87,86.73, 5.86, 0.33
1177.67,880.92,19.09,73.10, 5.88,86.20, 5.86, 0.39
1185.92,880.09,19.00,73.16, 6.01,87.07, 6.00, 0.31
1193.40,879.33,18.93,73.26, 6.15,87.90, 6.14, 0.23
1200.08,878.63,18.90,73.51, 6.11,87.52, 6.11, 0.26
1206.52,877.96,18.87,73.94, 6.09,88.60, 6.09, 0.15
1213.03,877.29,18.84,74.50, 5.92,88.86, 5.92, 0.12
1219.87,876.61,18.78,74.87, 5.75,89.12, 5.75, 0.09
1226.42,875.96,18.71,74.97, 6.19,89.90, 6.19, 0.01
1232.19,875.36,18.65,75.16, 6.62,90.58, 6.62,-0.07
1237.52,874.81,18.61,75.47, 6.80,90.43, 6.80,-0.05
1242.73,874.27,18.56,75.62, 6.76,94.08, 6.75,-0.48
1248.26,873.70,18.51,75.85, 6.75,97.75, 6.69,-0.91
1254.12,873.11,18.47,76.27, 6.77,97.61, 6.71,-0.90
1260.03,872.52,18.41,76.47, 6.79,97.47, 6.73,-0.88
1265.87,871.92,18.34,76.50, 6.71,98.08, 6.64,-0.94
1271.82,871.32,18.27,76.64, 6.58,100.42, 6.48,-1.19
1277.84,870.71,18.21,76.95, 6.71,103.43, 6.52,-1.56
1283.77,870.12,18.16,77.31, 6.97,104.83, 6.74,-1.78
1289.39,869.54,18.12,77.68, 7.24,106.12, 6.95,-2.01
1294.90,868.96,18.07,77.98, 7.37,104.99, 7.12,-1.91
1300.95,868.34,18.02,78.23, 7.50,103.91, 7.28,-1.80
1307.78,867.67,17.94,78.43, 7.62,105.11, 7.35,-1.99
1315.00,866.96,17.86,78.55, 7.39,107.36, 7.06,-2.21
1321.72,866.29,17.80,78.54, 7.13,108.29, 6.77,-2.24
1327.62,865.69,17.75,78.65, 6.88,109.29, 6.49,-2.27
1333.03,865.13,17.69,79.05, 6.84,108.16, 6.50,-2.13
1338.33,864.59,17.64,79.36, 6.80,107.01, 6.50,-1.99
1343.65,864.05,17.60,79.52, 6.86,108.01, 6.52,-2.12
1349.20,863.48,17.55,79.75, 6.87,106.91, 6.57,-2.00
1355.24,862.87,17.49,80.07, 6.89,105.81, 6.63,-1.88
1361.75,862.23,17.42,80.27, 6.93,103.05, 6.75,-1.57
1368.17,861.61,17.34,80.33, 6.89,100.81, 6.77,-1.29
1373.65,861.07,17.29,80.42, 6.73,99.94, 6.63,-1.16
1377.79,860.64,17.26,80.69, 6.56,99.03, 6.48,-1.03
1381.23,860.27,17.24,80.97, 6.45,99.56, 6.36,-1.07
1384.77,859.90,17.20,81.17, 6.29,103.87, 6.11,-1.51
1388.64,859.52,17.15,81.28, 6.17,105.58, 5.95,-1.66
1392.62,859.14,17.10,81.39, 6.06,107.36, 5.78,-1.81
1396.27,858.77,17.06,81.62, 5.86,106.71, 5.61,-1.68
1399.57,858.43,17.03,81.98, 5.66,106.00, 5.44,-1.56
1402.91,858.09,17.01,82.23, 5.39,103.73, 5.24,-1.28
1406.43,857.74,16.98,82.31, 5.29,106.19, 5.08,-1.48
1410.09,857.37,16.94,82.41, 5.21,108.73, 4.93,-1.67
1413.91,856.99,16.91,82.68, 5.10,113.01, 4.69,-1.99
1417.84,856.59,16.87,82.99, 5.02,117.44, 4.46,-2.31
1421.87,856.18,16.83,83.19, 5.19,119.79, 4.51,-2.58
1426.35,855.73,16.79,83.41, 5.33,121.40, 4.55,-2.78
1431.36,855.23,16.75,83.70, 5.47,122.93, 4.59,-2.97
1436.78,854.70,16.71,83.89, 5.52,123.43, 4.61,-3.04
1442.19,854.17,16.67,84.01, 5.58,123.91, 4.63,-3.11
1447.36,853.65,16.63,84.16, 5.72,122.32, 4.83,-3.06
1452.27,853.16,16.58,84.28, 5.83,119.29, 5.09,-2.85
1456.86,852.69,16.52,84.37, 5.96,116.38, 5.34,-2.65
1461.56,852.19,16.47,84.49, 6.37,118.08, 5.62,-3.00
1467.34,851.61,16.42,84.74, 6.79,119.57, 5.91,-3.35
1474.21,850.96,16.37,85.04, 7.04,120.49, 6.07,-3.57
1480.93,850.31,16.29,85.20, 7.01,118.23, 6.18,-3.32
1487.04,849.69,16.24,85.23, 7.27,116.22, 6.53,-3.21
1492.76,849.11,16.20,85.34, 7.32,117.91, 6.47,-3.43
1498.47,848.54,16.17,85.53, 7.45,118.38, 6.56,-3.54
1504.31,847.97,16.13,85.73, 7.37,120.29, 6.36,-3.72
1510.07,847.40,16.08,85.87, 7.41,120.84, 6.36,-3.80
1515.33,846.88,16.02,85.99, 7.59,122.47, 6.41,-4.08
1520.26,846.36,15.98,86.29, 7.83,123.18, 6.55,-4.29
1525.60,845.82,15.93,86.67, 8.07,123.84, 6.70,-4.49
1531.73,845.22,15.87,86.94, 7.91,124.05, 6.55,-4.43
1538.51,844.55,15.81,87.20, 7.80,125.38, 6.36,-4.51
1545.82,843.85,15.73,87.43, 7.75,127.47, 6.15,-4.71
1553.03,843.16,15.66,87.50, 7.62,129.20, 5.91,-4.82
1559.19,842.55,15.62,87.38, 7.74,129.64, 5.96,-4.94
1564.15,842.05,15.58,87.29, 7.96,129.83, 6.11,-5.10
1568.43,841.60,15.53,87.58, 8.19,130.00, 6.27,-5.26
1572.67,841.17,15.51,87.89, 8.04,130.51, 6.12,-5.22
1577.37,840.71,15.49,87.88, 8.14,127.93, 6.42,-5.00
1582.50,840.21,15.49,87.61, 8.18,126.56, 6.57,-4.87
1587.68,839.70,15.43,87.62, 8.22,125.61, 6.68,-4.79
1593.01,839.17,15.39,87.68, 8.27,125.68, 6.71,-4.82
1598.45,838.64,15.38,87.67, 8.17,125.26, 6.67,-4.72
1603.67,838.14,15.36,87.72, 8.13,126.30, 6.56,-4.82
1608.23,837.69,15.31,87.85, 8.07,127.51, 6.40,-4.91
1612.25,837.29,15.26,87.91, 8.07,127.60, 6.39,-4.92
1615.88,836.91,15.24,87.89, 8.07,127.70, 6.38,-4.93
1619.80,836.51,15.21,88.00, 8.05,126.20, 6.50,-4.75
1624.54,836.04,15.16,88.44, 8.03,124.68, 6.61,-4.57
1630.22,835.49,15.08,89.12, 7.77,125.88, 6.30,-4.56
1636.49,834.89,14.99,89.58, 7.55,126.99, 6.03,-4.55
1642.82,834.28,14.94,89.68, 7.21,128.63, 5.63,-4.50
1648.92,833.68,14.90,89.67, 6.96,130.34, 5.30,-4.50
1654.66,833.12,14.85,89.77, 6.95,132.35, 5.14,-4.69
1659.88,832.59,14.80,90.07, 6.86,133.85, 4.95,-4.75
1665.34,832.04,14.74,90.58, 6.82,135.72, 4.76,-4.89
1671.56,831.44,14.67,90.98, 6.79,137.62, 4.58,-5.02
1678.13,830.81,14.60,91.14, 6.65,138.70, 4.39,-4.99
1684.42,830.20,14.53,91.17, 6.54,139.40, 4.26,-4.96
1690.35,829.61,14.49,91.27, 6.45,139.88, 4.16,-4.93
1696.27,829.02,14.45,91.42, 6.53,140.15, 4.19,-5.02
1702.41,828.43,14.41,91.12, 6.61,140.41, 4.22,-5.10
1708.41,827.86,14.40,90.33, 6.69,141.71, 4.15,-5.25
1713.88,827.32,14.39,89.86, 6.77,142.97, 4.08,-5.41
1718.88,826.83,14.36,89.75, 6.79,142.45, 4.14,-5.39
1723.41,826.39,14.33,89.66, 6.83,143.05, 4.11,-5.46
1727.67,825.97,14.30,89.71, 6.98,142.90, 4.21,-5.57
1731.65,825.58,14.26,89.97, 7.15,141.98, 4.41,-5.64
1735.37,825.21,14.22,90.22, 7.08,141.24, 4.44,-5.52
1738.99,824.85,14.18,90.48, 7.07,140.86, 4.47,-5.49
1742.77,824.49,14.14,90.66, 7.00,139.72, 4.53,-5.34
1746.55,824.13,14.10,90.74, 6.85,139.52, 4.45,-5.21
1750.21,823.77,14.08,90.72, 6.94,139.94, 4.47,-5.32
1753.69,823.43,14.05,90.64, 7.00,140.75, 4.43,-5.42
1757.10,823.09,14.03,90.61, 7.10,141.86, 4.39,-5.58
1760.80,822.72,14.02,90.72, 7.17,142.97, 4.32,-5.72
1765.12,822.30,13.99,90.97, 7.19,144.21, 4.21,-5.83
1770.06,821.83,13.95,91.19, 7.32,145.68, 4.13,-6.05
1775.19,821.34,13.91,91.09, 7.35,147.58, 3.94,-6.20
1780.15,820.86,13.89,90.52, 7.39,149.47, 3.75,-6.36
1784.88,820.40,13.89,89.81, 7.56,150.36, 3.74,-6.57
1789.47,819.95,13.90,88.71, 7.74,151.22, 3.73,-6.78
1794.21,819.48,13.94,86.35, 7.75,152.47, 3.58,-6.88
1799.37,818.98,14.06,82.43, 7.80,154.29, 3.38,-7.02
1804.89,818.46,14.23,77.69, 7.89,156.03, 3.21,-7.21
1810.50,817.92,14.44,72.95, 8.07,157.60, 3.08,-7.46
1815.83,817.42,14.71,67.96, 8.23,158.34, 3.04,-7.65
1820.44,816.97,14.97,64.11, 8.26,159.10, 2.95,-7.71
1824.56,816.56,15.15,62.02, 8.28,159.86, 2.85,-7.77
1828.67,816.16,15.29,60.19, 8.22,161.04, 2.67,-7.78
1833.05,815.73,15.43,58.16, 8.17,162.24, 2.49,-7.78
1837.98,815.26,15.56,56.68, 8.14,162.45, 2.45,-7.76
1843.11,814.80,15.65,55.74, 8.00,162.76, 2.37,-7.64
1847.42,814.39,15.71,54.89, 7.85,163.04, 2.29,-7.51
1850.87,814.04,15.75,54.37, 7.69,163.33, 2.21,-7.37
1854.11,813.72,15.79,53.87, 7.44,164.31, 2.01,-7.16
1857.37,813.41,15.82,53.47, 7.21,164.44, 1.93,-6.95
1860.57,813.10,15.82,53.40, 7.20,165.11, 1.85,-6.96
1863.77,812.80,15.79,53.45, 7.03,164.89, 1.83,-6.79
1866.78,812.51,15.78,53.33, 6.86,164.67, 1.81,-6.62
1869.86,812.19,15.77,53.07, 6.77,165.69, 1.67,-6.56
1873.60,811.82,15.79,52.75, 6.72,166.46, 1.57,-6.54
1878.42,811.36,15.80,52.53, 6.56,166.88, 1.49,-6.39
1884.37,810.80,15.80,52.43, 6.39,167.33, 1.40,-6.24
1891.37,810.15,15.78,52.28, 6.27,166.81, 1.43,-6.10
1898.72,809.48,15.76,51.84, 6.14,166.27, 1.46,-5.97
1905.44,808.87,15.75,51.07, 6.05,166.31, 1.43,-5.88
1910.33,808.41,15.75,50.41, 5.96,166.36, 1.41,-5.80
1913.41,808.06,15.74,49.74, 5.97,165.54, 1.49,-5.79
1916.45,807.74,15.76,48.40, 5.94,165.18, 1.52,-5.75
1920.54,807.36,15.80,46.63, 5.91,164.81, 1.55,-5.71
1925.37,806.93,15.85,45.36, 5.82,165.75, 1.43,-5.64
1930.05,806.50,15.88,44.84, 5.67,166.11, 1.36,-5.51
1933.91,806.13,15.89,44.62, 5.76,168.00, 1.20,-5.63
1937.00,805.80,15.90,44.10, 5.85,169.83, 1.03,-5.75
1940.81,805.43,15.91,43.17, 5.73,170.24, 0.97,-5.64
1945.45,805.02,15.95,41.89, 5.61,170.66, 0.91,-5.53
1949.86,804.60,16.01,40.28, 5.64,170.79, 0.90,-5.57
1954.16,804.19,16.08,38.29, 5.68,170.93, 0.90,-5.60
1958.70,803.76,16.16,36.11, 5.71,171.90, 0.80,-5.65
1963.31,803.33,16.23,34.57, 5.74,172.87, 0.71,-5.70
1967.76,802.91,16.27,33.97, 5.71,173.43, 0.65,-5.67
1972.10,802.50,16.27,33.77, 5.76,174.25, 0.58,-5.73
1976.43,802.08,16.26,33.30, 5.81,175.06, 0.50,-5.79
1981.12,801.62,16.25,32.70, 5.90,175.34, 0.48,-5.88
1986.52,801.12,16.24,32.29, 5.96,176.28, 0.39,-5.95
1992.27,800.59,16.21,32.14, 6.07,176.98, 0.32,-6.06
1998.18,800.05,16.18,32.12, 6.13,177.18, 0.30,-6.12
2003.56,799.55,16.15,32.06, 6.06,176.50, 0.37,-6.05
2008.37,799.09,16.12,31.95, 5.99,175.80, 0.44,-5.97
2012.78,798.66,16.10,31.79, 5.96,175.42, 0.48,-5.94
2017.24,798.24,16.08,31.60, 5.92,175.04, 0.51,-5.90
2021.74,797.83,16.07,31.43, 5.87,175.28, 0.48,-5.85
2026.04,797.43,16.04,31.29, 5.90,175.33, 0.48,-5.88
2029.86,797.07,16.02,31.16, 5.91,174.76, 0.54,-5.89
2033.42,796.73,16.01,31.08, 5.95,174.72, 0.55,-5.93
2036.57,796.44,15.99,31.10, 6.06,175.47, 0.48,-6.04
2039.27,796.17,15.97,31.14, 6.01,176.53, 0.36,-6.00
2041.97,795.91,15.95,31.19, 5.96,177.56, 0.25,-5.95
2045.07,795.61,15.92,31.28, 5.90,178.60, 0.14,-5.90
2048.80,795.26,15.89,31.41, 5.95,178.25, 0.18,-5.94
2053.09,794.84,15.85,31.51, 5.99,177.91, 0.22,-5.99
2058.57,794.33,15.81,31.59, 6.08,178.05, 0.21,-6.08
2065.26,793.72,15.76,31.65, 6.02,178.39, 0.17,-6.01
2072.56,793.06,15.72,31.64, 5.95,178.75, 0.13,-5.95
2079.75,792.42,15.67,31.56, 5.97,179.27, 0.08,-5.97
2085.65,791.88,15.63,31.47, 5.99,179.79, 0.02,-5.99
2089.75,791.48,15.60,31.35, 6.01,180.30,-0.03,-6.01
2092.85,791.16,15.57,31.27, 5.88,181.22,-0.12,-5.88
2095.95,790.84,15.55,31.24, 5.75,182.17,-0.22,-5.75
2099.89,790.48,15.53,31.21, 5.59,182.67,-0.26,-5.58
2104.52,790.07,15.50,31.17, 5.48,182.07,-0.20,-5.48
2109.08,789.65,15.47,31.13, 5.45,180.79,-0.07,-5.45
2113.54,789.22,15.43,31.12, 5.42,179.54, 0.04,-5.42
2118.50,788.77,15.40,31.16, 5.31,178.60, 0.13,-5.31
2123.24,788.35,15.36,31.16, 5.12,178.43, 0.14,-5.12
2127.14,787.97,15.34,31.17, 5.13,178.82, 0.11,-5.13
2130.64,787.64,15.31,31.20, 5.13,179.21, 0.07,-5.13
2134.00,787.31,15.28,31.25, 5.15,177.93, 0.19,-5.15
2137.77,786.94,15.24,31.32, 5.17,176.66, 0.30,-5.16
2142.57,786.49,15.21,31.34, 5.20,175.65, 0.39,-5.18
2148.57,785.95,15.18,31.23, 5.22,174.65, 0.49,-5.20
2155.34,785.34,15.15,31.05, 5.22,174.11, 0.54,-5.19
2162.28,784.72,15.12,30.92, 5.30,173.51, 0.60,-5.26
2168.52,784.14,15.10,30.87, 5.36,172.40, 0.71,-5.31
2173.80,783.62,15.07,30.89, 5.42,171.32, 0.82,-5.36
2179.29,783.11,15.03,30.92, 5.46,172.07, 0.75,-5.40
2185.02,782.60,14.99,30.88, 5.49,172.80, 0.69,-5.45
2190.21,782.12,14.94,30.82, 5.48,173.34, 0.64,-5.44
2194.89,781.67,14.91,30.88, 5.56,173.64, 0.62,-5.52
2199.68,781.20,14.86,31.02, 5.55,173.16, 0.66,-5.51
2205.60,780.64,14.81,31.11, 5.35,171.94, 0.75,-5.30
2213.10,779.97,14.74,31.12, 5.29,171.63, 0.77,-5.23
2221.36,779.24,14.67,31.13, 5.35,172.86, 0.66,-5.31
2229.13,778.55,14.60,31.17, 5.46,173.74, 0.60,-5.43
2235.77,777.94,14.54,31.25, 5.51,174.09, 0.57,-5.48
2241.27,777.42,14.50,31.39, 5.45,174.58, 0.52,-5.43
2246.11,776.95,14.45,31.54, 5.41,174.64, 0.51,-5.39
2251.01,776.47,14.41,31.69, 5.38,174.71, 0.50,-5.35
2257.17,775.91,14.36,31.83, 5.37,175.44, 0.43,-5.35
2264.04,775.31,14.31,31.92, 5.35,176.17, 0.36,-5.34
2270.51,774.74,14.27,31.99, 5.29,176.11, 0.36,-5.28
2275.92,774.24,14.23,32.06, 5.27,177.01, 0.28,-5.26
2280.30,773.83,14.21,32.16, 5.31,178.05, 0.18,-5.31
2284.03,773.46,14.19,32.30, 5.28,177.73, 0.21,-5.28
2287.87,773.10,14.17,32.44, 5.34,178.14, 0.17,-5.34
2292.03,772.72,14.13,32.55, 5.40,178.55, 0.14,-5.40
2296.46,772.31,14.09,32.66, 5.47,178.16, 0.18,-5.46
2301.29,771.86,14.05,32.83, 5.53,177.77, 0.21,-5.52
2306.81,771.37,14.00,33.08, 5.55,177.74, 0.22,-5.54
2312.72,770.85,13.95,33.26, 5.53,178.37, 0.16,-5.53
2318.34,770.34,13.90,33.33, 5.62,178.77, 0.12,-5.62
2323.36,769.88,13.86,33.44, 5.71,179.16, 0.08,-5.71
2327.80,769.47,13.83,33.64, 5.75,178.97, 0.10,-5.74
2331.87,769.09,13.80,33.85, 5.77,178.65, 0.14,-5.77
2335.69,768.75,13.78,34.04, 5.79,178.34, 0.17,-5.79
2339.23,768.42,13.76,34.17, 5.84,178.05, 0.20,-5.84
2342.77,768.09,13.73,34.25, 5.84,176.91, 0.31,-5.83
2346.48,767.76,13.69,34.30, 5.73,176.08, 0.39,-5.71
2350.14,767.42,13.66,34.31, 5.68,176.52, 0.34,-5.67
2353.67,767.09,13.64,34.35, 5.71,176.49, 0.35,-5.70
2357.46,766.74,13.61,34.49, 5.75,176.45, 0.36,-5.74
2361.55,766.38,13.58,34.71, 5.68,177.07, 0.29,-5.67
2365.68,766.00,13.54,34.93, 5.62,177.71, 0.22,-5.61
2370.04,765.59,13.50,35.15, 5.43,178.81, 0.11,-5.43
2374.86,765.15,13.46,35.35, 5.28,179.27, 0.07,-5.28
2380.38,764.66,13.41,35.53, 5.18,179.02, 0.09,-5.18
2386.29,764.13,13.36,35.67, 5.08,178.76, 0.11,-5.08
2392.06,763.60,13.30,35.72, 5.05,178.87, 0.10,-5.05
2397.93,763.06,13.25,35.73, 5.02,178.99, 0.09,-5.02
2404.33,762.48,13.21,35.80, 5.05,179.34, 0.06,-5.05
2411.11,761.88,13.16,35.92, 5.09,179.80, 0.02,-5.09
2417.89,761.28,13.10,35.98, 5.12,180.26,-0.02,-5.12
2423.89,760.75,13.03,35.97, 5.20,180.89,-0.08,-5.20
2428.79,760.27,12.98,35.99, 5.28,181.49,-0.14,-5.28
2433.94,759.78,12.94,36.15, 5.29,181.93,-0.18,-5.29
2440.07,759.25,12.89,36.34, 5.31,182.37,-0.22,-5.30
2446.51,758.68,12.84,36.42, 5.31,181.49,-0.14,-5.30
2452.60,758.14,12.78,36.41, 5.18,182.29,-0.21,-5.17
2458.15,757.63,12.72,36.43, 5.17,182.54,-0.23,-5.16
2463.42,757.14,12.68,36.56, 5.16,182.81,-0.25,-5.15
2468.93,756.64,12.64,36.80, 5.10,183.86,-0.34,-5.09
2474.89,756.12,12.59,37.09, 5.05,184.96,-0.44,-5.03
2480.52,755.63,12.54,37.35, 4.98,186.38,-0.55,-4.95
2485.11,755.21,12.50,37.55, 4.92,187.87,-0.67,-4.88
2497.34,754.07,12.39,37.89, 4.81,189.29,-0.78,-4.75
2502.51,753.63,12.34,38.06, 4.65,190.75,-0.87,-4.57
2507.49,753.19,12.28,38.16, 4.51,192.34,-0.96,-4.40
2512.12,752.76,12.23,38.27, 4.41,193.16,-1.00,-4.30
2516.99,752.32,12.19,38.37, 4.33,194.04,-1.05,-4.20
2521.84,751.89,12.14,38.41, 4.25,195.92,-1.17,-4.09
2526.47,751.48,12.10,38.43, 4.18,197.88,-1.28,-3.98
2530.93,751.08,12.06,38.47, 4.11,200.79,-1.46,-3.84
2535.04,750.71,12.02,38.52, 4.11,201.17,-1.48,-3.83
2538.81,750.37,11.98,38.60, 4.12,201.54,-1.51,-3.83
2542.50,750.03,11.94,38.68, 4.14,201.92,-1.55,-3.84
2546.21,749.69,11.91,38.74, 4.16,202.28,-1.58,-3.85
2550.23,749.33,11.87,38.84, 4.19,202.63,-1.61,-3.87
2554.51,748.96,11.82,38.99, 4.23,202.95,-1.65,-3.90
2558.57,748.60,11.78,39.10, 4.27,203.24,-1.69,-3.93
2562.53,748.22,11.74,39.20, 4.32,203.49,-1.72,-3.96
2567.15,747.81,11.69,39.36, 4.37,203.70,-1.76,-4.00
2572.32,747.36,11.65,39.50, 4.43,203.87,-1.79,-4.05
2577.47,746.92,11.60,39.54, 4.48,204.00,-1.82,-4.10
2582.10,746.50,11.56,39.50, 4.54,204.10,-1.85,-4.15
2586.23,746.12,11.52,39.43, 4.60,204.16,-1.88,-4.20
2590.53,745.70,11.48,39.42, 4.67,204.19,-1.91,-4.26
2596.07,745.20,11.45,39.50, 4.73,204.19,-1.94,-4.31
2603.13,744.59,11.40,39.63, 4.79,204.17,-1.96,-4.37
2611.01,743.93,11.34,39.75, 4.84,204.12,-1.98,-4.42
2618.30,743.29,11.28,39.82, 4.90,204.06,-2.00,-4.47
2624.55,742.74,11.22,39.93, 4.95,203.98,-2.01,-4.52
2629.75,742.26,11.16,40.17, 4.99,203.90,-2.02,-4.57
2634.21,741.83,11.11,40.49, 5.03,203.80,-2.03,-4.61
2639.25,741.37,11.06,40.71, 5.07,203.71,-2.04,-4.64
2645.49,740.82,11.01,40.79, 5.10,203.63,-2.05,-4.67
2652.59,740.21,10.95,40.89, 5.13,203.57,-2.05,-4.70
2659.88,739.59,10.89,41.04, 5.15,203.53,-2.06,-4.72
2666.55,739.02,10.84,41.18, 5.17,203.52,-2.06,-4.74
2671.70,738.52,10.79,41.41, 5.18,203.54,-2.07,-4.75
2676.79,738.05,10.73,41.77, 5.18,203.61,-2.08,-4.75
2682.76,737.53,10.67,42.05, 5.19,203.71,-2.09,-4.75
2688.98,736.99,10.61,42.17, 5.19,203.86,-2.10,-4.74
2694.98,736.44,10.56,42.31, 5.18,204.06,-2.11,-4.73
2701.56,735.87,10.50,42.56, 5.18,204.31,-2.13,-4.72
2708.37,735.30,10.44,42.75, 5.18,204.62,-2.16,-4.71
2714.23,734.79,10.38,42.76, 5.17,204.99,-2.18,-4.69
2719.00,734.35,10.33,42.79, 5.17,205.41,-2.22,-4.67
2723.36,733.95,10.29,43.01, 5.16,205.89,-2.25,-4.65
2727.88,733.55,10.25,43.25, 5.16,206.43,-2.30,-4.62
2732.52,733.14,10.20,43.37, 5.16,207.01,-2.35,-4.60
2737.15,732.73,10.15,43.41, 5.17,207.62,-2.40,-4.58
2741.96,732.30,10.10,43.46, 5.18,208.27,-2.45,-4.56
2747.20,731.84,10.06,43.61, 5.19,208.93,-2.51,-4.54
2752.94,731.33,10.02,43.78, 5.21,209.61,-2.57,-4.53
2759.14,730.81, 9.97,43.87, 5.23,210.28,-2.64,-4.52
2765.15,730.30, 9.92,43.94, 5.26,210.95,-2.71,-4.51
2770.12,729.85, 9.87,44.10, 5.29,211.59,-2.77,-4.51
2774.64,729.44, 9.82,44.26, 5.33,212.21,-2.84,-4.51
2779.20,729.03, 9.76,44.39, 5.37,212.79,-2.91,-4.51
2784.03,728.61, 9.71,44.51, 5.41,213.31,-2.97,-4.52
2789.09,728.16, 9.65,44.58, 5.46,213.78,-3.03,-4.53
2794.46,727.70, 9.61,44.65, 5.50,214.20,-3.09,-4.55
2799.98,727.23, 9.57,44.75, 5.55,214.56,-3.15,-4.57
2805.03,726.79, 9.53,44.85, 5.60,214.86,-3.20,-4.60
2809.35,726.40, 9.48,44.95, 5.65,215.10,-3.25,-4.62
2813.48,726.04, 9.44,45.03, 5.70,215.29,-3.29,-4.65
2817.60,725.67, 9.40,45.08, 5.75,215.43,-3.33,-4.68
2821.71,725.31, 9.36,45.17, 5.79,215.52,-3.37,-4.72
2826.03,724.93, 9.32,45.30, 5.84,215.57,-3.40,-4.75
2830.64,724.54, 9.28,45.46, 5.88,215.58,-3.42,-4.78
